f1,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.3072018841630542,0.14811050075066223,entropy,10,20,5
0.3072018841630542,0.14811050075066223,entropy,10,20,10
0.3072018841630542,0.14811050075066223,entropy,10,20,15
0.3072018841630542,0.14811050075066223,entropy,10,20,20
0.2607294149292787,0.12622890191795125,entropy,15,1,2
0.2606908955173233,0.10584195250487406,entropy,15,1,5
0.3090117050782403,0.11759836359074158,entropy,15,1,10
0.302501002029967,0.104810528676656,entropy,15,1,15
0.3197399499725081,0.1491060477454757,entropy,15,1,20
0.25803518187239116,0.15618256804373515,entropy,15,5,2
0.2601040505388331,0.16588034443774324,entropy,15,5,5
0.24613759213759212,0.14356249469631058,entropy,15,5,10
0.2950245418538101,0.12676878079876114,entropy,15,5,15
0.2973631760396466,0.13465526538009126,entropy,15,5,20
0.3200108767303889,0.15567100780396853,entropy,15,10,2
0.32148026448549094,0.1572834527255102,entropy,15,10,5
0.31912198784150003,0.15479579305396435,entropy,15,10,10
0.3160959831133677,0.15240163921597735,entropy,15,10,15
0.3185991120245066,0.15431691443665504,entropy,15,10,20
0.2666082346917261,0.07524554553982382,entropy,15,15,2
0.2666082346917261,0.07524554553982382,entropy,15,15,5
0.2666082346917261,0.07524554553982382,entropy,15,15,10
0.2666082346917261,0.07524554553982382,entropy,15,15,15
0.2666082346917261,0.07524554553982382,entropy,15,15,20
0.3072018841630542,0.14811050075066223,entropy,15,20,2
0.3072018841630542,0.14811050075066223,entropy,15,20,5
0.3072018841630542,0.14811050075066223,entropy,15,20,10
0.3072018841630542,0.14811050075066223,entropy,15,20,15
0.3072018841630542,0.14811050075066223,entropy,15,20,20
0.2966562434855118,0.13921660524100302,entropy,20,1,2
0.2850334448160535,0.12090243180218561,entropy,20,1,5
0.26344956174743406,0.08711257908718385,entropy,20,1,10
0.33333618310905055,0.14651460100929395,entropy,20,1,15
0.2992296592296592,0.14019922887841255,entropy,20,1,20
0.24683590509374484,0.15168649831945752,entropy,20,5,2
0.2661556646663029,0.15675780256561483,entropy,20,5,5
0.26557408472302085,0.1345267015044189,entropy,20,5,10
0.2848251095309918,0.11611341523728416,entropy,20,5,15
0.28819650937297997,0.13552288065834,entropy,20,5,20
0.32148026448549094,0.1572834527255102,entropy,20,10,2
0.31912198784150003,0.15479579305396435,entropy,20,10,5
0.3185991120245066,0.15431691443665504,entropy,20,10,10
0.31912198784150003,0.15479579305396435,entropy,20,10,15
0.32148026448549094,0.1572834527255102,entropy,20,10,20
0.2666082346917261,0.07524554553982382,entropy,20,15,2
0.2666082346917261,0.07524554553982382,entropy,20,15,5
0.2666082346917261,0.07524554553982382,entropy,20,15,10
0.2666082346917261,0.07524554553982382,entropy,20,15,15
0.2666082346917261,0.07524554553982382,entropy,20,15,20
0.3072018841630542,0.14811050075066223,entropy,20,20,2
0.3072018841630542,0.14811050075066223,entropy,20,20,5
0.3072018841630542,0.14811050075066223,entropy,20,20,10
0.3072018841630542,0.14811050075066223,entropy,20,20,15
0.3072018841630542,0.14811050075066223,entropy,20,20,20
